dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000200,0.020000,1.000000,50.000000,6.283183
0.020000,0.000000,0.000000,0.001000,0.060000,2.000000,50.000000,6.283184
0.020000,0.001035,0.000000,0.002600,0.100000,2.000000,0.000000,0.000002
0.020000,0.003435,0.000000,0.005000,0.140000,2.000000,0.000000,0.000006
0.020000,0.006635,0.000000,0.008200,0.180000,2.000000,-0.000000,0.000011
0.020000,0.010635,0.000000,0.012200,0.220000,2.000000,0.000000,0.000018
0.020000,0.015435,0.000000,0.017000,0.260000,2.000000,0.000000,0.000027
0.020000,0.021035,0.000000,0.022600,0.300000,2.000000,-0.000000,0.000036
0.020000,0.027435,0.000001,0.029000,0.340000,2.000000,0.000000,0.000047
0.020000,0.034635,0.000001,0.036200,0.380000,2.000000,-0.000000,0.000060
0.020000,0.042635,0.000002,0.044200,0.420000,2.000000,0.000000,0.000073
0.020000,0.051435,0.000002,0.053000,0.460000,2.000000,0.000000,0.000089
0.020000,0.061035,0.000003,0.062600,0.500000,2.000000,-0.000000,0.000105
0.020000,0.071435,0.000004,0.073000,0.540000,2.000000,0.000000,0.000123
0.020000,0.082635,0.000006,0.084200,0.580000,2.000000,-0.000000,0.000142
0.020000,0.094635,0.000008,0.096200,0.620000,2.000000,0.000000,0.000163
0.020000,0.107435,0.000010,0.109000,0.660000,2.000000,0.000000,0.000185
0.020000,0.121035,0.000013,0.122600,0.700000,2.000000,-0.000000,0.000209
0.020000,0.135435,0.000016,0.137000,0.740000,2.000000,0.000000,0.000234
0.020000,0.150635,0.000020,0.152200,0.780000,2.000000,0.000000,0.000260
0.020000,0.166635,0.000024,0.168200,0.820000,2.000000,-0.000000,0.000288
0.020000,0.183435,0.000029,0.185000,0.860000,2.000000,0.000000,0.000317
0.020000,0.201035,0.000035,0.202600,0.900000,2.000000,0.000000,0.000347
0.020000,0.219435,0.000042,0.221000,0.940000,2.000000,-0.000000,0.000379
0.020000,0.238635,0.000049,0.240200,0.980000,2.000000,0.000000,0.000413
0.020000,0.258635,0.000058,0.260200,1.020000,2.000000,0.000000,0.000448
0.020000,0.279435,0.000067,0.281000,1.060000,2.000000,0.000000,0.000484
0.020000,0.301035,0.000078,0.302600,1.100000,2.000000,0.000000,0.000521
0.020000,0.323435,0.000090,0.325000,1.140000,2.000000,-0.000000,0.000561
0.020000,0.346635,0.000104,0.348200,1.180000,2.000000,0.000000,0.000601
0.020000,0.370635,0.000119,0.372200,1.220000,2.000000,0.000000,0.000643
0.020000,0.395435,0.000135,0.397000,1.260000,2.000000,0.000000,0.000687
0.020000,0.421035,0.000153,0.422600,1.300000,2.000000,0.000000,0.000732
0.020000,0.447435,0.000173,0.449000,1.340000,2.000000,0.000000,0.000778
0.020000,0.474635,0.000195,0.476200,1.380000,2.000000,-0.000000,0.000826
0.020000,0.502635,0.000219,0.504200,1.420000,2.000000,0.000000,0.000875
0.020000,0.531435,0.000245,0.533000,1.460000,2.000000,0.000000,0.000926
0.020000,0.561035,0.000273,0.562600,1.500000,2.000000,0.000000,0.000978
0.020000,0.591435,0.000304,0.593000,1.540000,2.000000,0.000000,0.001032
0.020000,0.622635,0.000337,0.624200,1.580000,2.000000,0.000000,0.001087
0.020000,0.654635,0.000372,0.656200,1.620000,2.000000,0.000000,0.001144
0.020000,0.687435,0.000411,0.689000,1.660000,2.000000,-0.000000,0.001202
0.020000,0.721035,0.000452,0.722600,1.700000,2.000000,0.000000,0.001262
0.020000,0.755435,0.000497,0.757000,1.740000,2.000000,0.000000,0.001323
0.020000,0.790635,0.000544,0.792200,1.780000,2.000000,0.000000,0.001386
0.020000,0.826635,0.000596,0.828200,1.820000,2.000000,0.000000,0.001451
0.020000,0.863434,0.000650,0.865000,1.860000,2.000000,0.000000,0.001517
0.020000,0.901034,0.000708,0.902600,1.900000,2.000000,-0.000000,0.001584
0.020000,0.939434,0.000771,0.941000,1.940000,2.000000,0.000000,0.001653
0.020000,0.978634,0.000837,0.980200,1.980000,2.000000,0.000000,0.001724
0.020000,1.018434,0.000907,1.020000,2.000000,1.000000,-50.000000,0.001796
0.020000,1.058434,0.000980,1.060000,2.000000,0.000000,-50.000000,0.001868
0.020000,1.098434,0.001056,1.100000,2.000000,0.000000,0.000000,0.001940
0.020000,1.138434,0.001135,1.140000,2.000000,0.000000,0.000000,0.002013
0.020000,1.178434,0.001217,1.180000,2.000000,0.000000,0.000000,0.002086
0.020000,1.218434,0.001302,1.220000,2.000000,0.000000,0.000000,0.002159
0.020000,1.258434,0.001390,1.260000,2.000000,0.000000,0.000000,0.002232
0.020000,1.298434,0.001481,1.300000,2.000000,0.000000,0.000000,0.002305
0.020000,1.338434,0.001574,1.340000,2.000000,0.000000,0.000000,0.002378
0.020000,1.378433,0.001671,1.380000,2.000000,0.000000,0.000000,0.002452
0.020000,1.418433,0.001771,1.420000,2.000000,0.000000,0.000000,0.002525
0.020000,1.458433,0.001873,1.460000,2.000000,0.000000,0.000000,0.002599
0.020000,1.498433,0.001978,1.500000,2.000000,0.000000,0.000000,0.002673
0.020000,1.538433,0.002087,1.540000,2.000000,0.000000,0.000000,0.002747
0.020000,1.578433,0.002198,1.580000,2.000000,0.000000,0.000000,0.002821
0.020000,1.618433,0.002313,1.620000,2.000000,0.000000,0.000000,0.002896
0.020000,1.658432,0.002430,1.660000,2.000000,0.000000,0.000000,0.002970
0.020000,1.698432,0.002550,1.700000,2.000000,0.000000,0.000000,0.003045
0.020000,1.738432,0.002673,1.740000,2.000000,0.000000,0.000000,0.003119
0.020000,1.778432,0.002800,1.780000,2.000000,0.000000,0.000000,0.003194
0.020000,1.818432,0.002929,1.820000,2.000000,0.000000,0.000000,0.003269
0.020000,1.858431,0.003061,1.860000,2.000000,0.000000,0.000000,0.003345
0.020000,1.898431,0.003197,1.900000,2.000000,0.000000,0.000000,0.003420
0.020000,1.938431,0.003335,1.940000,2.000000,0.000000,0.000000,0.003495
0.020000,1.978431,0.003476,1.980000,2.000000,0.000000,0.000000,0.003571
0.020000,2.018430,0.003621,2.020000,2.000000,0.000000,0.000000,0.003647
0.020000,2.058430,0.003768,2.060000,2.000000,0.000000,0.000000,0.003723
0.020000,2.098430,0.003918,2.100000,2.000000,0.000000,0.000000,0.003799
0.020000,2.138430,0.004072,2.140000,2.000000,0.000000,0.000000,0.003875
0.020000,2.178429,0.004228,2.180000,2.000000,0.000000,0.000000,0.003951
0.020000,2.218429,0.004388,2.220000,2.000000,0.000000,0.000000,0.004028
0.020000,2.258429,0.004551,2.260000,2.000000,0.000000,0.000000,0.004104
0.020000,2.298428,0.004716,2.300000,2.000000,0.000000,0.000000,0.004181
0.020000,2.338428,0.004885,2.340000,2.000000,0.000000,0.000000,0.004258
0.020000,2.378428,0.005057,2.380000,2.000000,0.000000,0.000000,0.004335
0.020000,2.418427,0.005232,2.420000,2.000000,0.000000,0.000000,0.004412
0.020000,2.458427,0.005410,2.460000,2.000000,0.000000,0.000000,0.004490
0.020000,2.498426,0.005591,2.500000,2.000000,0.000000,0.000000,0.004567
0.020000,2.538426,0.005775,2.540000,2.000000,0.000000,0.000000,0.004645
0.020000,2.578426,0.005963,2.580000,2.000000,0.000000,0.000000,0.004722
0.020000,2.618425,0.006153,2.620000,2.000000,0.000000,0.000000,0.004800
0.020000,2.658425,0.006347,2.660000,2.000000,0.000000,0.000000,0.004878
0.020000,2.698424,0.006543,2.700000,2.000000,0.000000,0.000000,0.004957
0.020000,2.738424,0.006743,2.740000,2.000000,0.000000,0.000000,0.005035
